student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade,early_risk_score,early_risk_level,risk_reason
56,21.5,84.1,7.7,100.0,A,0,Low,no early-warning indicator
57,9.1,81.4,5.4,76.9,B,1,Moderate,low self-study
58,12.8,83.7,4.9,91.9,A,0,Low,no early-warning indicator
59,17.3,99.0,6.9,89.5,A,0,Low,no early-warning indicator
60,21.8,94.7,6.0,100.0,A,0,Low,no early-warning indicator
61,11.6,80.9,2.7,71.2,B,1,Moderate,low participation
62,13.7,89.6,5.5,81.9,B,0,Low,no early-warning indicator
63,7.3,68.3,6.9,67.1,C,2,High,"low attendance, low self-study"
64,6.6,85.3,3.4,69.9,C,1,Moderate,low self-study
65,20.7,85.8,6.8,96.5,A,0,Low,no early-warning indicator
66,24.5,82.0,8.4,100.0,A,0,Low,no early-warning indicator
67,14.5,73.7,7.1,80.4,B,1,Moderate,low attendance
68,22.0,85.0,9.7,92.2,A,0,Low,no early-warning indicator
69,17.5,83.1,8.8,83.6,B,0,Low,no early-warning indicator
70,10.5,91.8,3.8,78.8,B,0,Low,no early-warning indicator
71,17.5,82.9,5.2,93.2,A,0,Low,no early-warning indicator
72,25.8,82.6,7.0,100.0,A,0,Low,no early-warning indicator
73,14.7,70.6,3.8,84.5,B,1,Moderate,low attendance
74,26.0,88.5,9.0,100.0,A,0,Low,no early-warning indicator
75,0.0,86.4,6.8,47.4,D,1,Moderate,low self-study
76,20.8,81.6,4.4,97.5,A,0,Low,no early-warning indicator
77,15.6,90.1,7.7,90.8,A,0,Low,no early-warning indicator
78,12.9,80.4,6.0,87.7,A,0,Low,no early-warning indicator
79,15.6,100.0,6.1,91.7,A,0,Low,no early-warning indicator
80,1.1,81.4,4.3,54.6,D,1,Moderate,low self-study
81,13.5,69.7,5.5,81.0,B,1,Moderate,low attendance
82,17.5,64.4,6.4,79.5,B,1,Moderate,low attendance
83,25.3,85.0,4.3,100.0,A,0,Low,no early-warning indicator
84,11.4,83.4,8.3,62.3,C,0,Low,no early-warning indicator
85,9.3,69.7,7.5,64.9,C,2,High,"low attendance, low self-study"
86,11.5,84.1,4.5,93.3,A,0,Low,no early-warning indicator
87,21.4,100.0,4.6,100.0,A,0,Low,no early-warning indicator
88,17.3,64.7,8.9,98.4,A,1,Moderate,low attendance
89,11.3,80.9,4.2,69.2,C,0,Low,no early-warning indicator
90,18.6,80.6,4.4,93.9,A,0,Low,no early-warning indicator
91,15.7,74.6,3.3,100.0,A,1,Moderate,low attendance
92,21.8,92.7,7.9,100.0,A,0,Low,no early-warning indicator
93,10.1,78.4,4.9,79.7,B,0,Low,no early-warning indicator
94,12.7,95.9,6.3,86.6,A,0,Low,no early-warning indicator
95,12.3,70.9,8.5,72.0,B,1,Moderate,low attendance
96,4.8,79.9,4.2,73.6,B,1,Moderate,low self-study
97,17.1,76.7,7.6,67.3,C,0,Low,no early-warning indicator
98,16.8,95.7,5.3,73.1,B,0,Low,no early-warning indicator
99,15.0,80.7,6.0,100.0,A,0,Low,no early-warning indicator
100,13.4,91.1,6.0,63.9,C,0,Low,no early-warning indicator
101,5.1,62.6,8.3,72.9,B,2,High,"low attendance, low self-study"
102,12.1,94.3,2.2,73.4,B,1,Moderate,low participation
103,12.6,73.3,4.5,68.1,C,1,Moderate,low attendance
104,9.4,72.5,5.4,86.1,A,2,High,"low attendance, low self-study"
105,13.9,91.9,9.5,83.0,B,0,Low,no early-warning indicator
106,17.8,74.7,4.6,77.7,B,1,Moderate,low attendance
107,28.2,97.9,6.3,100.0,A,0,Low,no early-warning indicator
108,16.2,100.0,5.0,93.6,A,0,Low,no early-warning indicator
109,16.8,81.5,4.9,100.0,A,0,Low,no early-warning indicator
110,14.5,82.3,3.9,100.0,A,0,Low,no early-warning indicator
111,1.6,97.0,5.3,43.5,D,1,Moderate,low self-study
112,14.8,75.1,5.5,93.8,A,0,Low,no early-warning indicator
113,15.4,96.3,5.7,78.9,B,0,Low,no early-warning indicator
114,32.2,84.4,4.9,100.0,A,0,Low,no early-warning indicator
115,13.7,93.3,5.3,84.2,B,0,Low,no early-warning indicator
116,17.1,77.8,9.3,100.0,A,0,Low,no early-warning indicator
117,14.8,97.8,5.0,100.0,A,0,Low,no early-warning indicator
118,6.8,70.7,6.4,73.2,B,2,High,"low attendance, low self-study"
119,23.0,99.6,7.8,100.0,A,0,Low,no early-warning indicator
120,20.3,96.1,7.7,95.4,A,0,Low,no early-warning indicator
121,20.5,79.3,8.2,92.1,A,0,Low,no early-warning indicator
122,8.6,88.4,6.7,76.7,B,1,Moderate,low self-study
123,24.8,80.0,6.6,100.0,A,0,Low,no early-warning indicator
124,5.2,87.7,6.9,74.1,B,1,Moderate,low self-study
125,19.1,79.9,3.6,74.2,B,0,Low,no early-warning indicator
126,30.3,75.7,1.1,100.0,A,1,Moderate,low participation
127,8.1,88.9,4.5,74.0,B,1,Moderate,low self-study
128,11.0,87.0,5.5,72.6,B,0,Low,no early-warning indicator
129,15.7,84.9,6.5,74.8,B,0,Low,no early-warning indicator
130,11.5,83.8,3.1,54.7,D,0,Low,no early-warning indicator
131,4.1,92.4,2.5,50.6,D,2,High,"low self-study, low participation"
132,15.5,80.1,6.5,86.8,A,0,Low,no early-warning indicator
133,7.6,77.9,4.6,92.6,A,1,Moderate,low self-study
134,18.3,97.3,7.5,97.3,A,0,Low,no early-warning indicator
135,8.6,80.4,6.1,70.6,B,1,Moderate,low self-study
136,25.8,77.7,6.9,100.0,A,0,Low,no early-warning indicator
137,9.5,79.3,3.6,81.9,B,1,Moderate,low self-study
138,12.7,78.3,10.0,78.7,B,0,Low,no early-warning indicator
139,20.7,100.0,6.1,100.0,A,0,Low,no early-warning indicator
140,6.4,84.1,4.8,54.8,D,1,Moderate,low self-study
141,16.6,70.8,7.0,95.0,A,1,Moderate,low attendance
142,24.1,86.1,4.2,100.0,A,0,Low,no early-warning indicator
143,3.7,71.7,1.2,58.2,C,3,Critical,"low attendance, low self-study, low participation"
144,16.3,100.0,5.7,87.9,A,0,Low,no early-warning indicator
145,16.8,100.0,7.8,86.2,A,0,Low,no early-warning indicator
146,20.5,94.3,9.7,86.1,A,0,Low,no early-warning indicator
147,6.3,89.3,5.6,58.9,C,1,Moderate,low self-study
148,5.8,69.8,9.7,62.3,C,2,High,"low attendance, low self-study"
149,18.7,92.8,10.0,100.0,A,0,Low,no early-warning indicator
150,17.1,82.5,5.8,83.5,B,0,Low,no early-warning indicator
151,16.8,74.8,6.2,90.2,A,1,Moderate,low attendance
152,17.4,70.0,8.4,94.4,A,1,Moderate,low attendance
153,10.2,88.5,7.7,85.4,A,0,Low,no early-warning indicator
154,16.6,81.2,4.8,100.0,A,0,Low,no early-warning indicator
155,17.1,76.4,3.3,100.0,A,0,Low,no early-warning indicator
156,10.0,90.3,5.5,92.4,A,0,Low,no early-warning indicator
157,28.1,100.0,5.5,100.0,A,0,Low,no early-warning indicator
158,18.3,97.0,6.1,79.6,B,0,Low,no early-warning indicator
159,6.7,89.3,4.4,54.8,D,1,Moderate,low self-study
160,19.6,78.5,10.0,93.2,A,0,Low,no early-warning indicator
161,8.2,93.6,6.8,72.0,B,1,Moderate,low self-study
162,20.5,96.7,5.5,95.8,A,0,Low,no early-warning indicator
163,23.1,93.9,2.1,100.0,A,1,Moderate,low participation
164,9.3,97.0,4.9,75.8,B,1,Moderate,low self-study
165,21.7,74.0,4.6,97.4,A,1,Moderate,low attendance
166,17.9,78.1,6.8,100.0,A,0,Low,no early-warning indicator
167,20.8,77.4,3.9,100.0,A,0,Low,no early-warning indicator
168,28.3,87.7,3.9,100.0,A,0,Low,no early-warning indicator
169,13.3,83.4,7.8,72.2,B,0,Low,no early-warning indicator
170,9.7,80.5,9.9,72.9,B,1,Moderate,low self-study
171,8.8,95.0,7.2,63.2,C,1,Moderate,low self-study
172,9.3,88.5,8.7,66.2,C,1,Moderate,low self-study
173,14.5,79.3,8.1,75.6,B,0,Low,no early-warning indicator
174,17.4,93.7,6.9,100.0,A,0,Low,no early-warning indicator
175,16.9,84.0,4.5,75.5,B,0,Low,no early-warning indicator
176,20.8,82.0,7.2,89.5,A,0,Low,no early-warning indicator
177,15.1,63.3,4.8,89.2,A,1,Moderate,low attendance
178,25.2,88.0,6.0,100.0,A,0,Low,no early-warning indicator
179,13.1,79.1,4.8,92.9,A,0,Low,no early-warning indicator
180,34.0,100.0,0.6,100.0,A,1,Moderate,low participation
181,19.4,94.8,7.4,100.0,A,0,Low,no early-warning indicator
182,9.0,97.2,4.7,84.7,B,1,Moderate,low self-study
183,7.5,85.6,8.2,80.1,B,1,Moderate,low self-study
184,18.4,100.0,9.4,100.0,A,0,Low,no early-warning indicator
185,13.4,100.0,6.4,75.9,B,0,Low,no early-warning indicator
186,20.0,84.5,3.8,100.0,A,0,Low,no early-warning indicator
187,18.3,89.6,6.7,96.5,A,0,Low,no early-warning indicator
188,14.5,81.9,1.8,97.2,A,1,Moderate,low participation
189,9.1,85.6,5.6,58.2,C,1,Moderate,low self-study
190,4.4,86.9,6.1,52.2,D,1,Moderate,low self-study
191,11.9,92.4,9.6,70.1,B,0,Low,no early-warning indicator
192,21.0,79.3,6.2,100.0,A,0,Low,no early-warning indicator
193,16.5,100.0,6.9,89.0,A,0,Low,no early-warning indicator
194,6.3,75.7,4.1,44.1,D,1,Moderate,low self-study
195,16.2,81.8,4.7,80.5,B,0,Low,no early-warning indicator
196,17.7,89.0,4.9,92.5,A,0,Low,no early-warning indicator
197,8.8,93.2,4.6,65.4,C,1,Moderate,low self-study
198,16.1,82.7,6.2,93.9,A,0,Low,no early-warning indicator
199,15.4,68.2,9.3,99.8,A,1,Moderate,low attendance
200,7.0,78.7,5.2,53.2,D,1,Moderate,low self-study
201,17.5,96.8,8.7,85.9,A,0,Low,no early-warning indicator
202,18.9,82.4,5.8,100.0,A,0,Low,no early-warning indicator
203,22.6,80.2,5.0,100.0,A,0,Low,no early-warning indicator
204,22.4,77.5,5.1,99.4,A,0,Low,no early-warning indicator
205,5.4,78.4,6.4,63.0,C,1,Moderate,low self-study
206,8.4,87.1,8.2,70.2,B,1,Moderate,low self-study
207,18.6,98.2,1.0,90.5,A,1,Moderate,low participation
208,18.6,93.9,2.5,83.7,B,1,Moderate,low participation
209,18.6,89.0,2.7,98.1,A,1,Moderate,low participation
210,40.0,68.1,6.7,100.0,A,1,Moderate,low attendance
211,19.0,88.0,7.3,95.5,A,0,Low,no early-warning indicator
212,22.9,79.5,5.2,100.0,A,0,Low,no early-warning indicator
213,21.7,98.3,7.1,100.0,A,0,Low,no early-warning indicator
214,19.6,82.6,8.7,90.2,A,0,Low,no early-warning indicator
215,12.8,89.1,2.9,87.9,A,1,Moderate,low participation
216,20.3,81.4,7.1,100.0,A,0,Low,no early-warning indicator
217,9.6,82.6,6.0,83.0,B,1,Moderate,low self-study
218,13.3,80.9,4.6,97.4,A,0,Low,no early-warning indicator
219,11.6,71.3,1.9,70.6,B,2,High,"low attendance, low participation"
220,15.6,85.3,7.6,83.7,B,0,Low,no early-warning indicator
221,31.2,95.1,2.1,100.0,A,1,Moderate,low participation
222,1.9,78.8,10.0,46.4,D,1,Moderate,low self-study
223,19.8,83.0,4.6,100.0,A,0,Low,no early-warning indicator
224,3.7,100.0,5.0,63.1,C,1,Moderate,low self-study
225,11.7,90.1,9.4,87.4,A,0,Low,no early-warning indicator
226,22.6,73.5,4.8,100.0,A,1,Moderate,low attendance
227,15.4,97.2,8.9,65.7,C,0,Low,no early-warning indicator
228,7.5,76.3,6.5,54.2,D,1,Moderate,low self-study
229,10.0,65.7,10.0,69.5,C,1,Moderate,low attendance
230,19.8,84.4,7.6,100.0,A,0,Low,no early-warning indicator
231,9.9,94.1,4.5,79.0,B,1,Moderate,low self-study
232,16.5,99.4,6.7,100.0,A,0,Low,no early-warning indicator
233,15.3,76.5,6.7,81.5,B,0,Low,no early-warning indicator
234,10.4,95.9,6.3,85.8,A,0,Low,no early-warning indicator
235,30.0,81.2,8.1,100.0,A,0,Low,no early-warning indicator
236,19.4,83.3,1.8,100.0,A,1,Moderate,low participation
237,0.8,91.0,4.2,53.0,D,1,Moderate,low self-study
238,16.3,70.2,7.5,96.0,A,1,Moderate,low attendance
239,10.4,85.9,4.1,81.2,B,0,Low,no early-warning indicator
240,21.0,96.9,8.9,100.0,A,0,Low,no early-warning indicator
241,9.5,81.8,4.9,55.0,C,1,Moderate,low self-study
242,14.2,87.3,7.1,81.5,B,0,Low,no early-warning indicator
243,18.5,86.9,4.7,72.7,B,0,Low,no early-warning indicator
244,21.1,88.6,8.5,100.0,A,0,Low,no early-warning indicator
245,6.6,96.5,6.5,55.6,C,1,Moderate,low self-study
246,12.7,77.4,10.0,91.1,A,0,Low,no early-warning indicator
247,11.7,89.4,3.1,80.0,B,0,Low,no early-warning indicator
248,10.4,79.9,1.6,71.4,B,1,Moderate,low participation
249,27.4,97.6,6.7,100.0,A,0,Low,no early-warning indicator
250,17.8,78.1,8.5,89.5,A,0,Low,no early-warning indicator
251,6.2,83.9,3.5,74.7,B,1,Moderate,low self-study
252,21.4,88.4,6.7,100.0,A,0,Low,no early-warning indicator
253,29.9,90.6,4.3,100.0,A,0,Low,no early-warning indicator
254,22.2,90.5,6.7,94.1,A,0,Low,no early-warning indicator
255,4.4,83.1,6.5,38.9,F,1,Moderate,low self-study
256,11.6,81.8,6.0,69.5,C,0,Low,no early-warning indicator
257,23.9,68.3,7.0,100.0,A,1,Moderate,low attendance
258,10.0,85.0,4.7,60.4,C,0,Low,no early-warning indicator
259,18.1,74.1,3.5,98.1,A,1,Moderate,low attendance
260,20.4,85.1,2.2,100.0,A,1,Moderate,low participation
261,8.5,78.2,7.0,77.7,B,1,Moderate,low self-study
262,14.6,66.7,1.1,81.2,B,2,High,"low attendance, low participation"
263,0.0,100.0,6.6,57.8,C,1,Moderate,low self-study
264,7.8,76.7,5.5,63.8,C,1,Moderate,low self-study
265,13.2,74.0,4.4,69.4,C,1,Moderate,low attendance
266,6.3,89.9,8.8,68.7,C,1,Moderate,low self-study
267,26.4,74.0,9.4,100.0,A,1,Moderate,low attendance
268,5.0,83.2,5.5,57.2,C,1,Moderate,low self-study
269,11.9,75.7,3.4,69.3,C,0,Low,no early-warning indicator
270,15.9,79.9,1.7,83.5,B,1,Moderate,low participation
271,25.1,83.8,5.4,100.0,A,0,Low,no early-warning indicator
272,4.9,91.8,6.2,69.7,C,1,Moderate,low self-study
273,23.1,96.6,8.9,100.0,A,0,Low,no early-warning indicator
274,15.1,72.9,2.0,90.1,A,2,High,"low attendance, low participation"
275,8.1,81.6,3.9,78.1,B,1,Moderate,low self-study
276,18.2,72.6,7.1,100.0,A,1,Moderate,low attendance
277,16.4,82.9,5.9,76.2,B,0,Low,no early-warning indicator
278,10.8,77.5,8.7,69.6,C,0,Low,no early-warning indicator
279,15.5,74.9,6.2,77.6,B,1,Moderate,low attendance
280,12.3,74.2,6.9,82.4,B,1,Moderate,low attendance
281,15.8,74.8,8.9,89.1,A,1,Moderate,low attendance
282,19.6,88.3,6.5,100.0,A,0,Low,no early-warning indicator
283,26.1,100.0,3.9,100.0,A,0,Low,no early-warning indicator
284,6.3,76.6,4.1,43.9,D,1,Moderate,low self-study
285,29.9,81.2,5.6,100.0,A,0,Low,no early-warning indicator
286,1.3,82.9,5.5,54.5,D,1,Moderate,low self-study
287,13.9,88.5,8.0,62.1,C,0,Low,no early-warning indicator
288,19.1,80.3,4.9,100.0,A,0,Low,no early-warning indicator
289,17.0,92.4,5.7,85.6,A,0,Low,no early-warning indicator
290,10.6,83.8,4.4,80.8,B,0,Low,no early-warning indicator
291,13.5,92.2,7.4,92.4,A,0,Low,no early-warning indicator
292,11.5,89.6,6.3,71.6,B,0,Low,no early-warning indicator
293,10.9,88.2,5.2,74.5,B,0,Low,no early-warning indicator
294,20.9,76.2,8.1,87.5,A,0,Low,no early-warning indicator
295,17.5,92.0,7.0,89.9,A,0,Low,no early-warning indicator
296,10.1,90.0,3.0,80.4,B,0,Low,no early-warning indicator
297,21.3,100.0,6.9,94.9,A,0,Low,no early-warning indicator
298,17.2,77.6,6.7,92.6,A,0,Low,no early-warning indicator
299,20.7,84.6,10.0,95.8,A,0,Low,no early-warning indicator
300,19.4,93.6,6.2,100.0,A,0,Low,no early-warning indicator
301,9.2,89.2,3.9,62.9,C,1,Moderate,low self-study
302,11.1,90.4,5.9,81.1,B,0,Low,no early-warning indicator
303,20.2,70.6,4.7,100.0,A,1,Moderate,low attendance
304,19.3,91.1,5.8,100.0,A,0,Low,no early-warning indicator
305,14.9,97.7,6.0,87.6,A,0,Low,no early-warning indicator
306,15.8,73.4,8.9,88.1,A,1,Moderate,low attendance
307,23.9,86.1,4.9,100.0,A,0,Low,no early-warning indicator
308,10.9,80.5,5.7,77.1,B,0,Low,no early-warning indicator
309,18.8,87.2,4.2,80.0,B,0,Low,no early-warning indicator
310,13.6,97.7,3.5,100.0,A,0,Low,no early-warning indicator
311,13.5,73.9,8.6,90.6,A,1,Moderate,low attendance
312,22.7,85.4,9.2,95.9,A,0,Low,no early-warning indicator
313,20.8,84.2,7.3,99.6,A,0,Low,no early-warning indicator
314,20.7,88.8,3.8,100.0,A,0,Low,no early-warning indicator
315,24.1,80.4,4.9,100.0,A,0,Low,no early-warning indicator
316,15.1,100.0,1.8,82.2,B,1,Moderate,low participation
317,19.8,73.4,2.8,100.0,A,2,High,"low attendance, low participation"
318,12.8,97.7,8.1,79.8,B,0,Low,no early-warning indicator
319,17.3,85.2,6.6,94.6,A,0,Low,no early-warning indicator
320,14.1,73.8,5.2,84.1,B,1,Moderate,low attendance
321,15.7,85.1,7.4,85.3,A,0,Low,no early-warning indicator
322,19.2,74.7,6.4,87.2,A,1,Moderate,low attendance
323,9.3,70.9,6.1,80.3,B,2,High,"low attendance, low self-study"
324,29.6,100.0,6.1,100.0,A,0,Low,no early-warning indicator
325,8.0,90.2,4.8,71.6,B,1,Moderate,low self-study
326,6.5,86.0,8.6,75.5,B,1,Moderate,low self-study
327,23.1,81.6,3.7,98.6,A,0,Low,no early-warning indicator
328,20.5,93.7,8.2,100.0,A,0,Low,no early-warning indicator
329,19.4,87.7,5.8,100.0,A,0,Low,no early-warning indicator
330,19.4,80.3,5.4,97.9,A,0,Low,no early-warning indicator
331,14.9,100.0,10.0,90.5,A,0,Low,no early-warning indicator
332,8.7,87.3,4.5,41.3,D,1,Moderate,low self-study
333,15.5,75.8,7.2,93.3,A,0,Low,no early-warning indicator
334,10.3,78.2,10.0,81.3,B,0,Low,no early-warning indicator
335,21.8,88.8,7.0,100.0,A,0,Low,no early-warning indicator
336,14.0,98.7,6.6,97.8,A,0,Low,no early-warning indicator
337,9.2,88.3,8.0,56.7,C,1,Moderate,low self-study
338,12.8,94.1,7.1,81.2,B,0,Low,no early-warning indicator
339,17.9,78.4,5.8,99.9,A,0,Low,no early-warning indicator
340,11.1,88.1,7.4,94.6,A,0,Low,no early-warning indicator
341,9.2,83.7,2.4,72.9,B,2,High,"low self-study, low participation"
342,16.7,74.9,5.1,80.6,B,1,Moderate,low attendance
343,16.7,94.9,10.0,97.0,A,0,Low,no early-warning indicator
344,11.5,78.1,5.8,89.4,A,0,Low,no early-warning indicator
345,11.7,97.9,8.2,79.7,B,0,Low,no early-warning indicator
346,16.6,100.0,4.3,100.0,A,0,Low,no early-warning indicator
347,4.9,91.0,6.0,59.0,C,1,Moderate,low self-study
348,5.1,79.5,7.9,56.9,C,1,Moderate,low self-study
349,10.0,72.0,6.4,79.9,B,1,Moderate,low attendance
350,13.5,80.0,4.4,91.5,A,0,Low,no early-warning indicator
351,17.2,85.4,4.9,100.0,A,0,Low,no early-warning indicator
352,25.3,85.3,7.6,100.0,A,0,Low,no early-warning indicator
353,21.0,73.6,6.7,87.3,A,1,Moderate,low attendance
354,13.9,65.4,3.9,87.4,A,1,Moderate,low attendance
355,14.9,87.1,6.9,88.3,A,0,Low,no early-warning indicator
356,8.0,94.8,6.2,68.8,C,1,Moderate,low self-study
357,14.9,90.4,7.2,94.7,A,0,Low,no early-warning indicator
358,13.0,92.5,7.8,76.4,B,0,Low,no early-warning indicator
359,17.3,90.4,6.4,100.0,A,0,Low,no early-warning indicator
360,9.2,82.3,6.9,72.1,B,1,Moderate,low self-study
361,18.6,100.0,4.6,83.7,B,0,Low,no early-warning indicator
362,25.7,65.4,6.7,100.0,A,1,Moderate,low attendance
363,14.2,88.1,6.0,85.1,A,0,Low,no early-warning indicator
364,17.8,82.1,3.7,89.5,A,0,Low,no early-warning indicator
365,19.8,80.0,1.9,95.4,A,1,Moderate,low participation
366,12.2,97.8,3.5,82.5,B,0,Low,no early-warning indicator
367,16.6,89.5,7.2,77.5,B,0,Low,no early-warning indicator
368,15.1,99.6,5.6,89.9,A,0,Low,no early-warning indicator
369,15.7,91.3,3.1,93.3,A,0,Low,no early-warning indicator
370,9.6,94.4,7.5,80.0,B,1,Moderate,low self-study
371,15.2,88.4,5.7,96.4,A,0,Low,no early-warning indicator
372,18.5,97.3,6.4,95.0,A,0,Low,no early-warning indicator
373,25.2,100.0,6.9,100.0,A,0,Low,no early-warning indicator
374,21.7,97.8,1.2,100.0,A,1,Moderate,low participation
375,30.1,99.7,6.6,100.0,A,0,Low,no early-warning indicator
376,9.6,89.8,3.2,82.4,B,1,Moderate,low self-study
377,21.1,80.3,7.5,92.2,A,0,Low,no early-warning indicator
378,16.3,94.9,6.0,100.0,A,0,Low,no early-warning indicator
379,30.3,64.4,4.1,100.0,A,1,Moderate,low attendance
380,9.3,81.7,3.8,60.4,C,1,Moderate,low self-study
381,9.1,68.2,2.6,76.5,B,3,Critical,"low attendance, low self-study, low participation"
382,10.8,87.0,6.3,88.7,A,0,Low,no early-warning indicator
383,0.1,100.0,9.0,33.8,F,1,Moderate,low self-study
384,11.3,76.4,6.7,67.3,C,0,Low,no early-warning indicator
385,9.7,96.9,10.0,87.6,A,1,Moderate,low self-study
386,16.1,76.0,9.5,92.1,A,0,Low,no early-warning indicator
387,17.4,76.8,6.7,85.4,A,0,Low,no early-warning indicator
388,28.1,77.2,7.5,100.0,A,0,Low,no early-warning indicator
389,21.7,85.5,5.8,100.0,A,0,Low,no early-warning indicator
390,11.0,70.7,5.4,97.6,A,1,Moderate,low attendance
391,8.7,84.9,4.2,54.1,D,1,Moderate,low self-study
392,18.4,92.8,4.6,85.8,A,0,Low,no early-warning indicator
393,5.8,88.0,4.8,63.1,C,1,Moderate,low self-study
394,27.8,80.3,9.5,100.0,A,0,Low,no early-warning indicator
395,23.3,90.6,6.3,100.0,A,0,Low,no early-warning indicator
396,11.7,92.7,7.5,89.6,A,0,Low,no early-warning indicator
397,3.0,86.6,6.5,58.6,C,1,Moderate,low self-study
398,24.5,85.5,8.1,100.0,A,0,Low,no early-warning indicator
399,14.2,100.0,7.2,81.5,B,0,Low,no early-warning indicator
400,23.7,87.9,6.6,100.0,A,0,Low,no early-warning indicator
401,3.8,85.8,4.7,67.2,C,1,Moderate,low self-study
402,10.8,88.7,4.5,67.8,C,0,Low,no early-warning indicator
403,15.0,91.7,4.4,87.4,A,0,Low,no early-warning indicator
404,15.3,82.9,9.9,90.2,A,0,Low,no early-warning indicator
405,11.8,73.2,2.7,64.9,C,2,High,"low attendance, low participation"
406,19.4,67.1,6.5,88.6,A,1,Moderate,low attendance
407,7.5,87.5,7.6,81.3,B,1,Moderate,low self-study
408,14.0,76.5,5.4,88.5,A,0,Low,no early-warning indicator
409,15.8,90.0,4.9,85.6,A,0,Low,no early-warning indicator
410,18.6,87.8,4.1,91.5,A,0,Low,no early-warning indicator
411,20.0,83.3,6.5,100.0,A,0,Low,no early-warning indicator
412,7.1,83.1,8.3,66.4,C,1,Moderate,low self-study
413,4.3,77.5,5.9,54.3,D,1,Moderate,low self-study
414,23.9,70.1,7.7,100.0,A,1,Moderate,low attendance
415,17.3,91.6,5.5,89.6,A,0,Low,no early-warning indicator
416,9.8,94.2,5.6,89.2,A,1,Moderate,low self-study
